model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,256x512,256,512,131072,64,2000,131072,9.377e+14,3.033e+15,1.517e+09,2.370e+07,5.445e+00,3.961e+17,9.377e+14,844.7,3853.3,prefill
llama_3_1_405b,256x512,256,512,131072,128,2000,131072,1.774e+15,5.253e+15,2.626e+09,2.052e+07,6.288e+00,7.096e+17,1.774e+15,800.1,3855.1,prefill
llama_3_1_405b,256x512,256,512,131072,256,2000,131072,3.446e+15,9.691e+15,4.846e+09,1.893e+07,6.816e+00,1.371e+18,3.446e+15,796.0,3890.8,prefill
llama_3_1_405b,256x512,256,512,131072,512,2000,131072,6.891e+15,1.907e+16,9.534e+09,1.862e+07,6.929e+00,2.718e+18,6.891e+15,788.8,3908.5,prefill
llama_3_1_405b,512x32,512,32,16384,32,2000,131072,7.181e+15,7.181e+15,3.591e+09,1.122e+08,1.150e+00,2.466e+17,7.181e+15,68.7,261.1,prefill
llama_3_1_405b,512x32,512,32,16384,64,2000,131072,1.273e+16,1.273e+16,6.367e+09,9.949e+07,1.297e+00,3.924e+17,1.273e+16,61.6,261.3,prefill
llama_3_1_405b,512x32,512,32,16384,128,2000,131072,2.384e+16,2.384e+16,1.192e+10,9.313e+07,1.385e+00,6.914e+17,2.384e+16,58.0,261.4,prefill
llama_3_1_405b,512x32,512,32,16384,256,2000,131072,4.605e+16,4.605e+16,2.303e+10,8.995e+07,1.434e+00,1.308e+18,4.605e+16,56.8,263.7,prefill
llama_3_1_405b,512x32,512,32,16384,512,2000,131072,9.048e+16,9.048e+16,4.524e+10,8.836e+07,1.460e+00,2.552e+18,9.048e+16,56.4,264.9,prefill
llama_3_1_405b,512x64,512,64,32768,32,2000,131072,3.592e+15,3.592e+15,1.796e+09,5.612e+07,2.299e+00,2.466e+17,3.592e+15,137.3,522.1,prefill
llama_3_1_405b,512x64,512,64,32768,64,2000,131072,6.369e+15,6.369e+15,3.185e+09,4.976e+07,2.593e+00,3.924e+17,6.369e+15,123.2,522.6,prefill
llama_3_1_405b,512x64,512,64,32768,128,2000,131072,1.192e+16,1.192e+16,5.962e+09,4.658e+07,2.770e+00,6.914e+17,1.192e+16,116.0,522.8,prefill
llama_3_1_405b,512x64,512,64,32768,256,2000,131072,2.304e+16,2.304e+16,1.152e+10,4.499e+07,2.868e+00,1.308e+18,2.304e+16,113.5,527.5,prefill
llama_3_1_405b,512x64,512,64,32768,512,2000,131072,4.526e+16,4.526e+16,2.263e+10,4.420e+07,2.919e+00,2.552e+18,4.526e+16,112.8,529.8,prefill
llama_3_1_405b,512x128,512,128,65536,32,2000,131072,1.797e+15,2.479e+15,1.240e+09,3.874e+07,3.331e+00,2.466e+17,1.797e+15,274.5,1044.3,prefill
llama_3_1_405b,512x128,512,128,65536,64,2000,131072,3.187e+15,4.144e+15,2.072e+09,3.238e+07,3.985e+00,3.924e+17,3.187e+15,246.2,1045.2,prefill
llama_3_1_405b,512x128,512,128,65536,128,2000,131072,5.967e+15,7.475e+15,3.737e+09,2.920e+07,4.419e+00,6.914e+17,5.967e+15,231.7,1045.6,prefill
llama_3_1_405b,512x128,512,128,65536,256,2000,131072,1.153e+16,1.414e+16,7.068e+09,2.761e+07,4.673e+00,1.308e+18,1.153e+16,226.9,1054.9,prefill
llama_3_1_405b,512x128,512,128,65536,512,2000,131072,2.265e+16,2.746e+16,1.373e+10,2.681e+07,4.812e+00,2.552e+18,2.265e+16,225.4,1059.7,prefill
llama_3_1_405b,512x256,512,256,131072,32,2000,131072,1.039e+15,1.925e+15,9.625e+08,3.008e+07,4.289e+00,2.466e+17,1.039e+15,474.6,2066.6,prefill
llama_3_1_405b,512x256,512,256,131072,64,2000,131072,1.875e+15,3.036e+15,1.518e+09,2.372e+07,5.439e+00,3.924e+17,1.875e+15,418.5,2068.4,prefill
llama_3_1_405b,512x256,512,256,131072,128,2000,131072,3.546e+15,5.258e+15,2.629e+09,2.054e+07,6.281e+00,6.914e+17,3.546e+15,389.9,2069.3,prefill
llama_3_1_405b,512x256,512,256,131072,256,2000,131072,6.889e+15,9.703e+15,4.851e+09,1.895e+07,6.808e+00,1.308e+18,6.889e+15,379.6,2087.5,prefill
llama_3_1_405b,512x256,512,256,131072,512,2000,131072,1.358e+16,1.859e+16,9.296e+09,1.816e+07,7.106e+00,2.552e+18,1.358e+16,376.0,2096.8,prefill
llama_3_1_405b,512x512,512,512,262144,32,2000,131072,6.603e+14,1.923e+15,9.614e+08,3.004e+07,4.295e+00,2.466e+17,6.603e+14,747.0,4072.1,prefill
llama_3_1_405b,512x512,512,512,262144,64,2000,131072,1.219e+15,3.032e+15,1.516e+09,2.368e+07,5.448e+00,3.924e+17,1.219e+15,643.8,4075.6,prefill
llama_3_1_405b,512x512,512,512,262144,128,2000,131072,2.336e+15,5.249e+15,2.625e+09,2.051e+07,6.292e+00,6.914e+17,2.336e+15,591.9,4077.4,prefill
llama_3_1_405b,512x512,512,512,262144,256,2000,131072,4.571e+15,9.685e+15,4.842e+09,1.892e+07,6.821e+00,1.308e+18,4.571e+15,572.2,4112.8,prefill
llama_3_1_405b,512x512,512,512,262144,512,2000,131072,9.039e+15,1.856e+16,9.278e+09,1.812e+07,7.120e+00,2.552e+18,9.039e+15,564.7,4130.7,prefill
llama_3_1_70b,32x32,32,32,1024,32,1000,131072,1.693e+15,1.693e+15,1.693e+09,5.289e+07,2.439e+00,1.089e+17,1.693e+15,64.3,122.9,prefill
llama_3_1_70b,32x32,32,32,1024,64,1000,131072,3.387e+15,3.387e+15,3.387e+09,5.293e+07,2.438e+00,2.001e+17,3.387e+15,59.1,99.2,prefill
llama_3_1_70b,32x32,32,32,1024,128,1000,131072,6.775e+15,6.775e+15,6.775e+09,5.293e+07,2.438e+00,4.048e+17,6.775e+15,59.7,99.3,prefill
llama_3_1_70b,32x32,32,32,1024,256,1000,131072,1.354e+16,1.354e+16,1.354e+10,5.291e+07,2.439e+00,8.472e+17,1.354e+16,62.5,113.0,prefill
llama_3_1_70b,32x32,32,32,1024,512,1000,131072,2.708e+16,2.708e+16,2.708e+10,5.290e+07,2.439e+00,1.823e+18,2.708e+16,67.3,121.4,prefill
llama_3_1_70b,32x64,32,64,2048,32,1000,131072,8.470e+14,8.470e+14,8.470e+08,2.647e+07,4.874e+00,1.089e+17,8.470e+14,128.5,198.0,prefill
llama_3_1_70b,32x64,32,64,2048,64,1000,131072,1.694e+15,1.694e+15,1.694e+09,2.647e+07,4.874e+00,2.001e+17,1.694e+15,118.1,198.4,prefill
llama_3_1_70b,32x64,32,64,2048,128,1000,131072,3.387e+15,3.387e+15,3.387e+09,2.646e+07,4.876e+00,4.048e+17,3.387e+15,119.5,226.0,prefill
llama_3_1_70b,32x64,32,64,2048,256,1000,131072,6.772e+15,6.772e+15,6.772e+09,2.645e+07,4.877e+00,8.472e+17,6.772e+15,125.1,242.8,prefill
llama_3_1_70b,32x64,32,64,2048,512,1000,131072,1.354e+16,1.354e+16,1.354e+10,2.645e+07,4.877e+00,1.823e+18,1.354e+16,134.6,242.9,prefill
llama_3_1_70b,32x128,32,128,4096,32,1000,131072,4.237e+14,4.237e+14,4.237e+08,1.324e+07,9.745e+00,1.089e+17,4.237e+14,256.9,396.1,prefill
llama_3_1_70b,32x128,32,128,4096,64,1000,131072,8.470e+14,8.470e+14,8.470e+08,1.324e+07,9.749e+00,2.001e+17,8.470e+14,236.3,451.5,prefill
llama_3_1_70b,32x128,32,128,4096,128,1000,131072,1.694e+15,1.694e+15,1.694e+09,1.323e+07,9.751e+00,4.048e+17,1.694e+15,239.0,485.4,prefill
llama_3_1_70b,32x128,32,128,4096,256,1000,131072,3.387e+15,3.387e+15,3.387e+09,1.323e+07,9.751e+00,8.472e+17,3.387e+15,250.1,485.6,prefill
llama_3_1_70b,32x128,32,128,4096,512,1000,131072,6.775e+15,6.775e+15,6.775e+09,1.323e+07,9.751e+00,1.823e+18,6.775e+15,269.1,485.7,prefill
llama_3_1_70b,32x256,32,256,8192,32,1000,131072,2.999e+14,4.230e+14,4.230e+08,1.322e+07,9.760e+00,1.089e+17,2.999e+14,363.0,882.6,prefill
llama_3_1_70b,32x256,32,256,8192,64,1000,131072,5.998e+14,7.764e+14,7.764e+08,1.213e+07,1.064e+01,2.001e+17,5.998e+14,333.7,948.3,prefill
llama_3_1_70b,32x256,32,256,8192,128,1000,131072,1.200e+15,1.554e+15,1.554e+09,1.214e+07,1.063e+01,4.048e+17,1.200e+15,337.4,949.1,prefill
llama_3_1_70b,32x256,32,256,8192,256,1000,131072,2.399e+15,3.151e+15,3.151e+09,1.231e+07,1.048e+01,8.472e+17,2.399e+15,353.1,949.5,prefill
