flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,flops_baseline,execution_time_baseline,cycle_count_baseline
2200.088608768,21.518704640000056,8607481856.00002,7.998294499570769,10.043738519235548,2.5114700439636346,attention,simd,mac,16x16,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.19984776842932386,1.041067444841129,ffn,simd,mac,16x16,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,43.285217280000005,17314086912.0,1.0,1.0030763056060232,1.0030763056060232,projection,simd,figna,16x16,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,86.05646848000022,34422587392.00008,1.0,0.9639026193678313,0.9639026193678314,attention,simd,figna,16x16,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.24676608,34898706432.0,1.0,1.0030764000888517,1.0030764000888517,ffn,simd,figna,16x16,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,67.633152,27053260800.0,1.0000000000000002,0.6419876760999389,1.0031057439061544,projection,simd,figna,16x16,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,107.57058560000026,43028234240.0001,1.0,0.7711220941124212,0.9639026176405264,attention,simd,figna,16x16,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,136.95713279999998,54782853120.0,1.0000000000000002,0.639011689456865,1.0030997450776369,ffn,simd,figna,16x16,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,173.14086912000002,69256347648.0,1.0,0.25078747614908187,1.0031499045963277,projection,simd,figna,16x16,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,172.11293696000044,68845174784.00015,1.0,0.4819513086147162,0.9639026172294325,attention,simd,figna,16x16,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.19256642293572887,1.003136714827983,ffn,simd,figna,16x16,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,97.39173888,38956695552.0,1.0000000000000002,0.4458444020428123,1.0031499045963277,projection,simd,figna,16x16,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,21.518704640000056,8607481856.00002,7.998294499570769,9.679206628743264,2.4203176387822936,attention,simd,figna,16x16,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.19256642293572887,1.003136714827983,ffn,simd,figna,16x16,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,2.7262976000000005,1090519040.0,15.876923076923076,11.309221780831127,0.7123056354205654,projection,tensor,,8x16x16,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1102.026113024,5.388369920000014,2155347968.000005,15.999552119557833,5.661596942063233,0.35449721793856154,attention,tensor,,8x16x16,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,5.4951936,2198077440.0,15.876923076923076,11.309769947010599,0.7123401613911716,ffn,tensor,,8x16x16,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,4.2598400000000005,1703936000.0,15.876923076923076,7.23844894902306,0.7123594683964677,projection,tensor,,8x16x16,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1377.53264128,6.735462400000015,2694184960.000006,15.999552119557837,4.5292775311564215,0.3544972161779895,attention,tensor,,8x16x16,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,8.626176000000001,3450470400.0,15.876923076923076,7.20517415210383,0.7123828554253551,ffn,tensor,,8x16x16,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,10.905190400000002,4362076160.0,15.876923076923076,2.8278396945330373,0.7124402331187887,projection,tensor,,8x16x16,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2204.052226048,10.776739840000028,4310695936.00001,15.999552119557833,2.8307984517974853,0.35449721552989627,attention,tensor,,8x16x16,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,28.626124800000003,11450449920.0,15.876923076923076,2.171408118188284,0.7124504732472828,ffn,tensor,,8x16x16,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,6.134169600000001,2453667840.0,15.876923076923077,5.027270568058734,0.7124402331187887,projection,tensor,,8x16x16,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2204.052226048,1.3476659200000032,539066368.0000012,127.94195370689154,109.39461237444863,1.7131471176151927,attention,tensor,,8x16x16,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,28.626124800000003,11450449920.0,15.876923076923076,2.171408118188284,0.7124504732472828,ffn,tensor,,8x16x16,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
